,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUILD_UP_INDEX,fireweather_index,Classes
810,17.92,56.89,4.94,0.0,95.62,149.65,423.09,11.53,158.84151326806446,10337.311564280728,1
811,35.09,54.53,8.4,4.73,69.89,17.68,9.96,1.03,6.502688330871492,21.235450299365574,0
812,31.26,83.92,9.36,0.0,77.09,4.75,6.9,1.81,3.4913448735019976,17.90832445086526,0
813,28.72,71.43,17.56,0.03,63.89,27.68,6.9,2.28,5.019500657030224,34.62859487002547,0
814,18.12,67.61,10.68,2.89,68.67,8.68,6.9,1.92,4.188251748251749,23.549559081293904,0
815,23.66,64.58,16.1,3.06,77.4,19.64,154.22,0.26,29.79422388353335,32.32518948407519,0
816,20.23,28.98,8.45,0.0,86.22,146.07,539.08,5.94,174.1619689136361,5937.058445802465,1
817,28.52,57.85,14.78,6.32,82.1,10.27,6.9,2.09,4.350759785111281,26.812908072586072,0
818,12.77,39.78,15.57,0.0,92.51,16.34,344.27,17.09,29.213605110095553,2075.9664144558865,1
819,28.68,61.65,21.87,6.37,46.93,21.95,66.2,0.97,24.003138550485232,93.44043205147838,0
820,34.42,52.05,5.78,0.0,92.44,150.03,673.92,13.25,192.77159109433316,14929.58631056529,1
821,26.8,38.0,6.3,0.0,91.8,175.1,700.7,13.8,215.54318591066803,17740.01372551935,1
822,22.47,28.6,7.01,0.0,85.76,38.06,644.45,10.6,66.32711465657113,3389.6907505858394,1
823,30.27,71.08,11.75,2.03,66.94,0.7,6.9,1.44,1.1167630057803468,3.7099137495751737,0
824,30.45,64.92,2.97,0.08,90.48,3.0,727.44,11.03,5.938770511878521,204.31163783483098,1
825,19.95,34.54,9.13,0.0,94.25,244.46,385.38,10.13,189.07608361012714,11156.236541156555,1
826,8.03,65.12,11.37,0.0,89.44,121.29,519.02,5.74,153.12208842863137,4928.215195596479,1
827,26.08,74.55,1.7,0.0,92.4,122.9,7.9,18.24,6.161573853720451,352.8778023714956,1
828,32.67,57.03,1.97,0.0,88.11,88.69,158.14,5.49,73.84432153528226,1992.817908665864,1
829,20.91,71.6,13.34,0.1,91.02,3.0,648.59,8.98,5.931411848984133,166.09565999311613,1
830,25.9,41.0,3.6,0.0,91.0,166.9,752.6,7.1,214.74366799162283,9087.156356083624,1
831,34.72,36.94,16.16,3.23,62.73,45.63,101.06,0.98,42.869526576335794,187.21009148611927,0
832,36.19,54.98,20.9,0.0,76.29,2.27,106.9,1.44,4.311134799022873,18.27550911037374,0
833,27.02,61.83,16.68,1.04,68.0,0.7,125.03,2.32,1.3806751853604666,7.677989590250991,0
834,17.0,27.0,4.9,0.0,91.7,35.8,80.8,7.8,33.971109806224305,1132.2004418562751,1
835,2.2,46.64,8.91,0.0,84.56,22.64,479.23,7.14,40.497050183826964,1275.303855703848,1
836,21.83,32.5,0.4,0.2,89.76,208.56,166.39,10.34,100.90957530641622,5426.339100520327,1
837,23.6,100.0,15.38,2.0,64.77,0.7,6.9,0.56,1.1167630057803468,1.442744235945901,0
838,31.75,71.38,10.68,2.09,54.19,9.74,258.35,2.83,17.802115316590026,191.56998218574967,0
839,26.2,17.87,5.21,0.51,84.74,67.37,670.4,10.22,107.68598456173814,5791.065346071035,1
840,20.42,43.19,3.88,0.0,88.11,3.0,683.45,4.23,5.9348722772993705,78.29271020582067,1
841,20.74,57.28,10.73,0.11,86.06,65.25,581.49,3.81,101.91098084244878,2022.897963229571,1
842,13.5,53.26,1.05,0.07,91.43,63.86,450.2,10.94,94.28473231122406,5298.95425693247,1
843,28.36,58.96,18.2,5.88,61.95,8.04,6.9,1.15,4.109333333333334,13.791991016927991,0
844,11.23,53.35,11.39,0.0,94.07,145.89,691.2,1.9,190.99683784359684,2117.5987880048074,1
845,30.62,68.22,14.33,0.0,69.25,20.93,385.66,2.01,36.85908786830599,321.2587053864778,0
846,26.96,50.08,0.4,0.0,91.75,216.56,379.79,4.25,178.5675537077042,4375.030654782927,1
847,13.23,69.95,1.97,1.03,86.07,177.71,76.43,2.09,52.16917563687693,503.38866434275667,1
848,32.21,74.06,14.16,1.14,73.37,35.34,60.37,2.77,28.691175363098445,329.3872820262854,0
849,31.23,66.07,15.04,3.3,51.83,20.28,6.9,1.23,4.85875,17.97702878218958,0
850,16.64,42.3,7.97,0.37,92.09,121.95,258.59,8.63,111.93259741066437,5118.554815205937,1
851,21.18,63.96,11.5,2.2,73.9,0.7,7.22,1.69,1.1268673355629877,4.40053817849392,0
852,32.23,33.37,0.46,0.8,88.29,54.11,383.95,7.95,80.02517020559488,3173.0167913088817,1
853,24.56,59.05,16.21,0.0,65.92,9.72,203.19,0.33,17.363460371884475,21.69022580174441,0
854,25.0,76.0,17.0,7.2,46.0,1.3,7.5,0.2,1.8139534883720931,0.9135183742201678,0
855,20.3,46.68,16.45,2.56,64.32,0.7,6.9,0.0,1.1167630057803468,0.0,0
856,22.33,34.64,3.59,0.0,86.46,169.4,860.6,4.69,227.0627521221089,6411.213638338273,1
857,28.15,62.03,17.2,2.32,49.0,8.42,57.69,0.27,12.338069596139192,11.856146978633031,0
858,31.4,70.42,14.22,0.0,58.76,8.0,18.33,1.53,7.6514479519958245,38.22235189003759,0
859,27.97,72.36,0.72,0.08,90.04,171.12,671.3,1.9,209.03076335183331,2355.589679081474,1
860,27.07,49.87,4.03,0.44,96.0,144.04,246.28,6.53,117.00310432402125,4080.967414650268,1
861,34.34,60.59,7.89,1.34,48.55,22.89,10.59,0.37,7.149011280690113,8.53112525863956,0
862,16.05,20.04,14.9,0.0,90.11,105.19,297.56,3.61,111.68022121722997,2135.4358088486424,1
863,24.41,71.89,18.33,3.54,81.86,34.78,6.9,0.44,5.114160895045286,6.831734218187557,0
864,25.8,39.14,0.43,0.0,88.93,70.22,169.74,15.96,69.03844768165891,5350.906334796002,1
865,35.55,71.9,13.08,2.4,43.62,15.33,28.94,1.32,13.191115736267006,62.723194640426435,0
866,16.4,24.14,10.71,0.35,85.56,105.47,613.06,12.3,147.50052912225473,10104.31442101252,1
867,24.06,27.7,11.66,0.56,86.43,157.27,681.08,13.12,199.41904221995713,15386.740840918043,1
868,28.6,27.0,2.2,0.0,93.4,145.4,721.4,8.1,193.36631947644943,9160.014464434335,1
869,27.48,83.72,12.83,1.76,60.04,10.71,188.13,2.05,18.75128359042368,147.54544126702805,0
870,36.62,46.81,20.97,2.5,67.39,23.92,6.9,2.02,4.948965517241379,30.171441393427052,0
871,36.95,36.47,9.59,0.0,92.16,101.24,860.6,1.9,156.4642973870881,1673.4055980777298,1
872,18.02,56.3,0.4,0.0,90.53,18.93,860.6,11.08,35.88657212875513,1715.8928218807741,1
873,26.56,69.75,8.92,2.11,53.64,14.51,87.98,1.32,20.54790229769426,105.8410153492756,0
874,22.31,59.56,8.78,0.75,69.79,0.7,27.4,0.44,1.315951972555746,1.375933534336727,0
875,37.99,93.62,8.33,0.0,62.57,0.7,6.9,2.06,1.1167630057803468,5.307237725086708,0
876,27.5,27.0,4.9,0.0,94.8,222.4,698.6,13.9,247.67836760720547,21054.071537150747,1
877,36.72,82.89,19.4,0.0,53.81,0.7,124.5,0.28,1.3805940594059403,0.9265896410483248,0
878,28.62,41.98,13.61,0.5,87.66,112.53,232.61,11.27,101.86347806629244,5980.450403993263,1
879,16.29,43.55,3.99,0.24,96.2,110.08,685.42,13.41,157.08820053715309,11866.335702353981,1
880,35.3,29.11,9.72,0.41,88.75,60.33,508.46,9.17,93.0565439832546,4373.408011442879,1
881,31.31,75.07,8.75,3.46,63.16,16.26,6.9,1.21,4.7189905362776035,17.085789861237824,0
882,7.59,73.01,15.77,2.16,75.03,14.8,25.71,0.32,12.135480784563866,13.77976678633751,0
883,21.31,77.22,15.37,5.28,53.54,22.05,60.13,1.96,23.00753112663225,179.59766572450377,0
884,23.57,34.78,9.91,0.18,92.71,44.78,575.81,5.65,74.98188844945912,2088.2440158940085,1
885,27.75,72.55,16.33,3.34,63.13,19.82,6.9,1.7,4.845279007971657,24.76500067594592,0
886,25.99,51.94,3.47,0.0,94.48,3.0,7.9,9.31,3.0779220779220786,79.38022662636722,1
887,35.51,71.94,11.89,3.34,75.09,5.87,6.9,1.41,3.7546234067207416,15.200838118157,0
888,25.52,33.06,0.4,0.22,87.87,106.0,424.25,17.43,130.4911135291984,12390.32416940956,1
889,25.02,47.24,8.39,0.15,96.2,3.0,7.9,14.66,3.0779220779220786,124.99614633110025,1
890,25.97,83.05,15.38,0.0,59.03,7.98,6.9,2.04,4.101452513966481,24.410414064716342,0
891,25.17,38.12,10.98,5.21,50.43,16.24,179.49,1.21,26.48841473942478,130.9359116362974,0
892,29.5,88.63,16.28,3.35,77.26,0.7,6.9,1.3,1.1167630057803468,3.349227690588699,0
893,39.0,45.0,13.0,0.6,85.2,11.3,10.4,4.2,6.081241914618371,80.00567516353604,1
894,18.9,65.25,7.89,0.26,94.25,3.0,120.55,1.9,5.6485747754783295,33.173149807100316,1
895,29.0,88.0,13.0,0.0,71.0,2.6,16.6,1.2,3.736796536796537,12.864404761490489,0
896,13.2,40.0,5.4,0.0,90.1,39.7,86.6,6.2,36.99779391982782,995.3508447351896,1
897,22.6,57.0,4.9,0.0,89.2,103.9,431.6,6.4,129.72659289795328,4518.067961535736,1
898,14.34,49.97,6.72,0.74,95.83,75.13,216.79,8.96,80.50829900028421,3601.6298611977204,1
899,25.96,64.19,1.23,0.0,93.29,72.15,288.48,12.01,88.78579518187927,5418.8586933403985,1
900,20.94,24.41,7.1,0.11,82.29,114.59,773.32,8.0,167.22996202095692,7621.704425088928,1
901,29.12,62.45,15.54,0.0,71.7,9.89,173.62,0.0,17.314293781038092,0.0,0
902,15.96,59.39,7.81,0.0,94.93,3.0,51.07,12.76,5.23168857777019,203.50605855878555,1
903,19.69,80.27,10.67,2.63,72.82,13.98,79.92,1.15,19.452974667014885,86.43792960031308,0
904,25.23,68.95,17.79,0.0,71.9,0.7,199.71,1.91,1.3878387769284222,6.359837631653125,0
905,13.79,41.11,2.12,0.0,88.26,84.53,860.6,1.9,135.73061174988925,1414.8858235835276,1
906,30.11,57.49,14.45,4.57,59.44,0.7,132.92,0.85,1.3818073810054203,2.8157798540940835,0
907,10.03,33.52,4.24,0.23,94.39,23.26,722.24,7.07,43.05360755519676,1357.4358101309317,1
908,22.79,72.2,4.11,0.0,93.48,152.84,670.93,7.09,194.76167098753123,8086.183910896494,1
909,20.95,67.99,2.5,0.0,93.13,19.95,685.02,10.65,37.19211315902272,1720.3615589043018,1
910,34.0,58.0,13.0,0.2,79.5,18.7,88.0,2.1,24.424489795918365,206.49228912545237,0
911,26.87,68.05,24.51,2.18,82.1,0.7,6.9,1.33,1.1167630057803468,3.426517560371515,1
912,31.43,28.64,13.37,3.8,82.1,0.7,168.26,1.13,1.3855890829951176,3.7554274783819737,1
913,28.39,68.09,18.08,8.93,35.6,21.45,6.9,1.65,4.890706319702602,24.30287257946448,0
914,39.0,74.27,16.03,0.01,63.26,4.66,6.9,2.17,3.4667385444743943,21.291687255909633,0
915,22.83,15.0,17.04,0.92,90.39,115.91,346.46,3.21,126.23693635213404,2194.3096120445634,1
916,22.14,78.69,12.54,4.09,62.62,0.7,6.9,1.56,1.1167630057803468,4.019073228706438,0
917,20.2,47.0,4.0,0.0,92.1,152.6,658.2,14.3,193.2121188804463,16156.161278351483,1
918,18.56,42.99,7.48,0.0,87.94,181.54,278.74,4.02,138.14673855771989,3056.607431526471,1
919,39.0,33.0,17.0,0.0,93.7,17.1,32.1,17.2,14.666933867735471,926.302851313001,1
920,40.0,41.0,10.0,0.1,92.0,22.6,65.1,9.5,24.198355263157893,923.9307488867823,1
921,32.07,61.43,13.95,4.31,64.79,1.42,65.57,1.55,2.6941377314814816,11.293224304142667,0
922,23.62,75.69,14.55,1.73,59.27,0.7,6.9,1.54,1.1167630057803468,3.967546648851228,0
923,24.67,40.92,0.4,0.0,89.42,250.6,408.75,4.72,197.88988167109395,5485.401412188377,1
924,24.2,28.0,3.6,0.0,84.4,73.4,671.9,3.2,115.30853401917234,1965.7146797126418,1
925,35.0,64.0,18.0,0.2,80.0,9.7,40.4,2.8,12.123124516627996,120.42804917656733,0
926,25.75,73.66,21.36,2.47,82.1,24.55,6.9,1.08,4.962138410838521,16.18196454003789,0
927,9.99,38.97,5.18,0.0,94.35,256.57,330.65,7.45,174.54387881593496,7465.590065613603,1
928,16.44,91.67,12.66,0.0,91.98,178.72,747.89,7.79,223.76164661962517,10466.385293514535,1
929,36.58,62.35,15.26,0.0,56.66,18.26,175.64,1.38,28.986275023724524,166.09336276983996,0
930,3.15,53.78,3.53,1.17,92.57,135.42,642.13,9.77,177.3407117510299,9975.903895726322,1
931,20.78,41.48,8.9,0.57,95.48,26.46,616.24,1.9,47.790003956681666,412.63087271428816,1
932,5.96,60.4,1.27,0.0,88.98,107.7,434.05,8.49,132.93668420304283,6168.964210669139,1
933,27.92,49.59,7.97,0.0,96.2,35.27,39.83,16.68,21.94920667161439,1445.7674451859452,1
934,23.86,59.97,7.97,7.16,66.78,46.29,6.9,0.0,5.2093944954128455,0.0,0
935,20.57,54.85,8.22,0.08,92.07,101.63,256.06,2.06,102.02545522263713,1095.195816864513,1
936,28.66,79.38,18.42,1.32,73.91,16.24,197.76,2.1,26.94766235945628,231.9023431667296,0
937,15.38,58.46,2.0,0.0,91.33,14.0,318.07,1.9,25.224346446880222,194.06994397126604,1
938,35.47,77.79,4.99,0.0,85.43,201.5,637.23,8.36,225.0729110063279,11309.960777891854,1
939,14.89,68.71,7.68,0.14,96.2,3.5,769.19,14.57,6.921266421574929,323.3449682684861,1
940,38.34,84.12,12.76,0.0,66.94,0.7,99.4,0.87,1.3757785467128023,2.867195603542694,0
941,39.0,50.71,6.05,0.0,49.05,20.01,6.9,1.88,4.850909090909091,27.424747757446507,0
942,32.31,70.46,12.39,0.0,64.74,7.52,281.69,0.9,14.099030250590701,46.26171443738429,0
943,18.99,65.89,9.18,0.1,89.86,168.05,860.6,14.09,225.8468133283883,19139.280272543987,1
944,35.04,17.64,1.92,0.01,87.96,128.34,860.6,9.2,186.9726251639934,9999.093936844592,1
945,20.36,89.03,12.71,5.91,64.26,14.34,129.58,1.59,22.46481532974672,141.6457372814393,0
946,20.7,64.16,6.36,0.08,88.93,3.0,314.69,7.68,5.860330860672274,140.04326915416263,1
947,28.26,35.14,6.27,0.0,93.16,9.85,538.29,10.58,18.838213584644215,765.6474660254356,1
948,20.95,53.27,8.44,0.45,92.67,50.95,750.45,5.86,87.11400905647484,2585.3360164719143,1
949,29.81,73.07,22.8,0.0,56.95,18.52,6.9,2.14,4.80406015037594,30.861938226941984,0
950,17.05,37.87,5.96,0.41,76.21,15.87,34.45,0.96,14.751338954468803,52.05202998190849,0
951,24.66,59.41,21.48,3.72,70.31,14.48,125.85,0.73,22.490688059240973,65.12074408763536,0
952,30.96,72.28,17.61,3.75,78.1,27.55,8.95,2.93,6.336588499839383,58.590378541070294,0
953,24.95,67.39,9.14,4.2,71.51,0.7,174.58,1.54,1.386105597459309,5.120268492342779,0
954,19.6,48.0,2.7,0.0,92.5,88.0,698.6,7.1,133.84890050076203,5200.784929228395,1
955,31.12,55.62,9.08,2.63,61.15,0.7,156.16,0.11,1.384484833132797,0.36522868501424344,0
956,24.04,65.14,7.48,1.18,67.36,0.7,67.85,0.62,1.3647988505747124,2.024052739207603,0
957,32.43,51.96,12.01,0.0,65.97,16.22,190.9,0.74,26.75651760639447,81.03415316779413,0
958,25.37,95.65,11.08,0.0,69.76,0.7,109.37,0.16,1.3779517638588912,0.5282837475549588,0
959,28.0,65.27,12.27,0.84,75.52,8.76,123.92,2.14,14.88875600054862,117.30971227180765,0
960,23.4,40.0,5.8,0.0,94.9,130.3,587.1,14.1,167.60503916306072,13468.828172550044,1
961,15.97,29.3,7.7,1.09,92.75,137.77,14.45,13.56,11.094539881574365,525.2603371548897,1
962,12.99,55.11,18.17,2.32,82.1,0.7,212.29,0.67,1.3885535413941317,2.232294215559512,1
963,34.12,60.34,12.38,4.0,64.86,0.7,148.07,1.87,1.3836470431184082,6.20445262412713,0
964,33.06,82.64,22.95,0.0,61.85,0.7,6.9,0.2,1.1167630057803468,0.5152657985521075,0
965,16.4,27.0,3.6,0.0,91.1,132.3,812.1,12.5,188.02262764142276,13675.835555449017,1
966,33.03,46.17,11.28,0.0,95.35,3.15,599.14,9.58,6.218268082337339,187.35302454355505,1
967,33.0,46.0,14.0,1.1,78.3,8.1,8.3,1.9,4.709632224168127,26.766130142500423,0
968,14.5,38.12,9.05,0.61,84.41,120.85,740.82,7.3,171.68325654756484,7173.957491332903,1
969,23.15,58.74,20.5,2.09,53.82,8.64,254.72,1.47,15.929218297625942,87.27063837957564,0
970,24.51,69.03,17.37,0.0,68.72,28.08,6.9,1.71,5.025992217898833,26.011100795840957,0
971,31.62,65.99,16.83,1.17,82.1,18.58,201.4,0.85,30.195779705467018,107.36189541902039,1
972,16.72,51.93,9.71,0.11,95.67,3.0,626.67,6.2,5.92904110885094,114.62218523161896,1
973,22.78,55.18,13.77,1.94,69.91,0.7,105.28,2.15,1.377109221713538,7.093689224791853,0
974,16.92,78.08,11.84,0.06,62.59,0.7,6.9,0.42,1.1167630057803468,1.0820581769594257,0
975,32.03,73.0,0.4,0.16,91.52,3.0,674.35,9.62,5.934003079856274,178.02497838701964,1
976,14.19,64.4,14.43,1.23,72.3,4.43,26.17,0.71,6.225431601557256,13.904129917189138,0
977,22.83,48.63,7.72,0.0,91.83,42.98,363.9,5.27,66.36436618224249,1686.36928456053,1
978,36.0,44.59,21.01,0.46,61.71,14.0,135.25,1.06,22.243759177679888,93.33455908093491,0
979,25.69,53.05,5.78,0.36,95.03,56.24,558.34,10.48,89.85332532120069,4795.717345175046,1
980,11.31,56.69,9.81,0.0,92.18,94.05,421.46,5.11,120.74084238902806,3314.3047952871375,1
981,36.05,74.72,11.31,3.2,58.92,11.64,224.53,2.3,20.60899104995466,185.06735696073957,0
982,23.94,89.43,16.34,0.0,59.78,11.41,174.12,0.65,19.607779121123144,49.31551111572596,0
983,26.86,52.01,2.46,1.19,91.0,138.07,633.59,6.71,178.75541381230428,6915.980534906427,1
984,23.34,73.23,17.62,1.67,82.1,0.7,120.53,0.8,1.3799640170101404,2.6459728286599105,1
985,17.26,38.42,14.66,0.7,82.1,2.36,6.9,1.92,2.544375,13.075729454104405,1
986,19.04,74.35,17.46,1.66,67.42,3.99,66.14,1.12,6.9342074492544175,24.910489291877074,0
987,22.92,90.07,7.49,3.86,42.0,0.7,6.9,0.64,1.1167630057803468,1.648850555366744,0
988,22.4,63.74,11.27,5.48,76.44,0.7,194.69,0.56,1.3875279983710036,1.8641715322434567,0
989,39.0,68.96,10.56,2.23,77.41,25.34,6.9,1.63,4.97782206405694,24.513929637906354,0
990,23.31,82.21,8.46,0.52,76.23,2.52,128.64,2.25,4.804695420186749,32.45336484195146,0
991,22.41,56.31,10.96,0.0,58.34,6.04,6.9,2.27,3.788727272727273,24.734889661686516,0
992,25.37,48.99,19.72,0.0,69.75,3.77,249.45,0.93,7.265487204249155,21.856119105670334,0
993,17.99,22.67,8.0,0.0,94.38,52.57,697.77,10.13,88.47561526540802,4551.767344970535,1
994,27.82,93.35,18.26,0.0,73.64,25.93,126.15,3.0,34.25652048697473,439.7838349557762,0
995,25.58,46.04,5.82,0.18,91.12,99.0,860.6,1.9,153.77565201696598,1639.5133043432406,1
996,2.2,53.6,1.4,0.54,88.95,3.0,561.98,6.85,5.92098054365386,126.43581308879523,1
997,24.63,81.95,19.83,2.25,82.1,0.76,50.88,1.73,1.4652823039029936,6.1418213835056035,1
998,8.64,47.09,13.61,0.1,85.29,147.14,643.54,4.19,187.2481942672955,4561.859378532943,1
999,21.83,55.4,5.48,0.44,92.46,139.92,60.27,7.81,41.12945789743215,1420.7270433712865,1
1000,26.7,35.0,1.8,0.0,91.0,163.2,744.4,10.1,210.8401249566123,12649.868800512575,1
1001,15.67,58.7,0.4,0.0,91.45,134.68,269.01,7.38,119.6290858661736,4734.623245127517,1
1002,15.17,83.42,13.22,3.3,60.07,22.59,6.9,0.13,4.9190059171597635,1.9278578924532115,0
1003,26.04,49.02,20.2,3.28,64.16,8.58,155.52,1.86,15.08008815053399,103.5093196283333,0
1004,30.0,80.0,19.0,0.4,60.7,5.2,17.0,1.1,5.8933333333333335,20.191693382229698,0
1005,13.06,15.16,6.71,0.58,94.64,3.0,415.1,11.76,5.893516327496451,215.8754710183528,1
1006,20.07,40.6,6.76,0.0,84.48,134.46,548.63,8.61,166.75058161350844,8175.1084510430255,1
1007,21.79,45.33,11.49,0.62,92.22,116.4,635.06,1.9,159.64620866898474,1713.651767391925,1
1008,18.4,42.0,2.2,0.0,92.5,122.0,789.7,10.2,176.0179044487074,10323.320598129101,1
1009,30.83,74.16,21.06,2.72,64.18,9.99,90.47,1.18,15.657591060678245,68.64599572610354,0
1010,16.36,34.57,14.27,0.42,83.74,119.13,413.65,9.58,138.523839910046,7307.632082218475,1
1011,21.2,70.0,6.7,0.0,81.6,56.7,665.6,1.9,93.48986189385028,911.1418538262228,0
1012,25.02,33.58,3.52,0.0,85.59,103.93,559.04,12.86,141.90624144394985,10092.993497774736,1
1013,31.7,78.43,17.99,0.0,71.65,27.66,8.65,0.93,6.150616966580977,17.954361757302014,0
1014,21.6,28.0,6.3,0.0,92.8,119.0,783.5,7.5,172.50046253469012,7411.937206802726,1
1015,18.8,40.0,2.2,0.0,91.0,129.5,692.6,7.0,176.49766320657255,7107.432510755403,1
1016,15.95,46.78,12.55,0.0,87.82,166.14,518.0,15.66,184.412106926662,16745.385922518584,1
1017,19.44,57.83,7.67,0.0,90.76,79.64,494.66,9.26,113.56873385608856,5587.10937388707,1
1018,28.91,50.23,0.4,0.0,87.54,43.05,541.58,3.76,71.82636917460586,1320.925050078686,1
1019,33.41,70.14,16.21,3.28,72.02,0.7,327.11,1.44,1.3925500212856532,4.8140718468051205,0
1020,12.48,41.42,1.27,0.0,96.2,53.53,647.28,4.41,88.71764589907886,1987.9696169634028,1
1021,17.4,57.0,4.5,0.0,92.1,99.0,745.3,9.6,148.63960515713134,7958.237863083206,1
1022,26.68,62.77,11.99,2.41,82.1,8.0,96.47,2.67,13.252511376320081,127.56928484199923,1
1023,19.95,44.9,12.88,0.01,86.75,198.57,567.11,5.69,211.7674222286996,7163.524873023481,1
1024,32.94,71.19,15.93,0.0,82.1,0.7,6.9,2.63,1.1167630057803468,6.775745250960213,1
1025,19.74,51.22,7.37,0.0,77.78,0.7,26.71,1.75,1.3139142656359803,5.4624610225350825,0
1026,18.5,56.62,18.29,0.0,68.34,18.9,6.9,1.41,4.816620498614959,20.397042142686903,0
1027,18.66,71.19,9.91,0.0,67.26,19.09,115.87,2.38,27.04188147559522,263.9077717572657,0
1028,24.86,75.12,16.36,0.26,92.09,25.08,7.9,5.59,5.612804532577904,96.86971339176553,1
1029,22.11,48.27,11.45,0.0,88.62,165.79,754.03,12.41,213.96679295338913,15815.516158106619,1
1030,25.04,70.3,13.77,1.83,82.1,16.37,181.48,2.08,26.71547492187676,227.35928733320662,1
1031,30.65,44.73,15.15,0.0,61.37,16.81,6.9,0.29,4.741502299437916,4.1180116801521125,0
1032,23.49,41.91,9.34,0.0,92.16,91.03,500.45,10.54,125.14944816455477,7131.778100284523,1
1033,39.0,57.67,19.96,5.18,70.32,40.14,6.9,0.1,5.164867132867134,1.5708559703273666,0
1034,25.41,61.41,19.14,0.0,82.1,26.75,6.9,0.0,5.003727549983057,0.0,1
1035,26.91,31.94,11.04,0.51,82.18,88.54,586.41,10.34,128.55487124888583,7221.737078233399,1
1036,6.7,79.0,3.1,0.0,84.2,6.8,26.6,7.7,8.297247706422018,211.66950613754983,1
1037,20.94,45.19,4.28,0.0,87.76,26.47,369.86,8.17,44.905542903665996,1648.5928057950443,1
1038,25.9,56.44,12.33,0.13,88.53,83.12,380.31,13.16,107.5015463093639,7441.913620850013,1
1039,29.9,75.71,9.19,4.85,63.65,12.18,157.51,0.59,20.413617791019366,46.942978931580214,0
1040,19.09,43.73,18.43,0.0,84.3,151.75,228.86,15.8,114.19765386733746,9595.43204210417,1
1041,30.7,64.08,8.57,0.0,52.84,0.7,193.82,2.22,1.3874725162345958,7.389759739850892,0
1042,37.15,76.43,0.9,1.79,56.36,22.05,154.04,0.76,32.47753687280377,104.61440495081614,0
1043,25.29,85.93,15.8,0.0,61.96,0.7,164.13,1.59,1.3852302869544246,5.282570316985608,0
1044,17.33,51.28,13.36,0.0,77.53,0.7,49.73,2.1,1.3524087024087024,6.7822518495409545,0
1045,28.51,52.05,18.77,0.0,62.08,19.4,6.9,1.65,4.832490974729242,23.961747335729,0
1046,28.45,70.12,18.87,3.78,76.28,14.26,166.68,1.18,23.494852962981266,110.83379260482555,0
1047,38.27,38.68,9.21,0.38,93.02,89.03,516.36,9.84,124.42645374762327,6612.747919972289,1
1048,39.0,70.5,6.75,0.0,56.89,27.99,6.9,1.24,5.024546341463415,18.85544554652602,0
1049,22.81,67.7,16.36,2.28,52.21,0.7,6.9,1.37,1.1167630057803468,3.529570720081937,0
1050,24.38,68.84,14.13,0.0,50.62,0.7,6.9,1.28,1.1167630057803468,3.297701110733488,0
1051,23.1,100.0,20.5,1.12,71.62,25.05,167.23,1.08,36.45003589219291,170.35750107082967,0
1052,29.4,100.0,13.0,0.0,55.16,33.89,139.29,0.79,42.144839408075356,147.90731788188555,0
1053,31.95,69.68,19.92,0.28,82.1,22.67,6.9,1.69,4.920896578843885,25.07352438434853,1
1054,21.3,44.0,4.5,0.0,91.6,273.8,819.1,7.7,298.31016227720136,14526.84023178187,1
1055,14.1,43.0,2.7,0.0,88.1,25.7,67.6,3.8,26.352976867652636,408.7228476050649,1
1056,13.35,21.52,12.62,0.0,94.09,86.6,345.65,9.8,106.49573957128881,5480.693663429762,1
1057,20.51,52.4,9.57,0.13,92.49,179.27,29.6,12.18,22.21293286588876,1070.7126239343506,1
1058,18.32,46.66,8.58,0.0,91.48,154.03,860.6,7.44,212.82953900495716,9422.20036182268,1
1059,29.6,52.37,9.53,0.21,92.35,51.09,408.96,7.08,77.86230805779927,2735.845540548565,1
1060,34.47,59.74,6.35,5.88,72.76,20.7,6.9,0.72,4.870588235294117,10.553412238398662,0
1061,22.58,48.99,3.6,0.0,84.96,161.84,58.14,9.15,40.66809698750919,1642.4697391759228,1
1062,19.3,44.0,2.2,0.0,91.6,108.4,764.0,6.2,160.03400966183577,5607.954829785895,1
1063,17.39,66.28,2.13,0.66,84.86,172.18,7.9,5.2,6.206100148283335,101.45988220050221,1
1064,25.65,84.26,15.88,1.29,49.91,5.56,6.9,1.16,3.688846153846154,12.247437579035578,0
1065,14.3,46.0,1.8,0.0,90.4,89.5,290.8,6.4,101.16256923525413,3368.6051206525917,1
1066,24.71,65.49,6.47,0.0,90.61,79.25,9.25,13.18,7.069921639541893,299.9277536403396,1
1067,25.22,65.27,21.07,6.53,57.26,23.44,226.63,1.12,37.24858675454897,181.24499245042375,0
1068,6.65,22.15,0.83,0.39,90.37,37.67,375.71,10.55,60.24025325345563,3011.3241947678985,1
1069,23.69,70.27,13.51,0.0,49.49,2.75,6.9,2.7,2.754990925589837,20.197663055421497,0
1070,18.81,66.28,10.86,0.87,66.99,22.52,49.17,0.0,20.997599317341425,0.0,0
1071,34.08,32.57,4.97,0.0,89.71,207.19,498.54,3.76,203.22868349212754,4509.228876222908,1
1072,21.51,88.32,13.55,3.32,60.74,5.81,117.9,0.15,10.345463469888616,5.350169966383352,0
1073,31.0,74.97,0.7,0.18,88.04,26.7,778.81,9.35,49.18450967406216,2100.7067660986136,1
1074,18.45,48.42,11.05,1.33,57.59,0.7,78.86,1.11,1.3696067485423644,3.6387815919650524,0
